Q No.,Key Pillar,Category,Question,1,2,3,4,5,Notes
1,Business Strategy,Investment Plan,How well-defined is the investment plan for AI implementation across the business?,There's limited focus on a formal investment plan. The emphasis is on understanding potential costs associated with AI (such as data preparation and tools).,"Development of a clear investment plan is underway. This plan estimates costs for data, infrastructure, personnel, tools, and ROI, and identifies funding sources.",There's a well-established investment plan in place. Monitoring and adjustments occur based on actual project costs and results.,The investment plan is continuously updated to reflect increased resource requirements as successful initiatives scale.,There's a continuous focus on maximizing the value delivered by AI. Investment plans are optimized for cost-effectiveness.,
2,Business Strategy,Use-Cases,"How far along is your organization in establishing approved, prioritized, and socialized use cases for AI?",There are no identified or documented AI use cases. There's limited focus on researching potential applications of AI that align with business objectives.,"Potential AI use cases have been identified through workshops or brainstorming. They are now being evaluated and prioritized based on factors like business impact, feasibility (data, technical expertise, and infrastructure), and potential benefits.",Approved use cases are under development or being deployed.,Successful AI initiatives are being scaled to a broader scope or across different departments.,Existing use cases are continuously monitored and evaluated for performance against established metrics.,
3,Business Strategy,Security,How effectively does the business strategy integrate security throughout the AI lifecycle?,Security is not a major consideration in the early stages of exploring AI use cases. There might be basic awareness but no formal policies or processes.,The organization recognizes the need for security in AI and is beginning to develop a plan. Security considerations might be included in high-level project proposals.,"A basic security policy for AI projects is established. Security considerations are included in some stages of the AI development lifecycle, but the process might not be fully integrated.","A documented security framework for AI is in place, and security is integrated into core development processes. Security training is provided for relevant personnel.","The organization has a mature security posture for AI. Security is a continuous focus, and best practices are consistently applied.",
4,Organization and Culture,Vision Communication,How effectively has company leadership communicated their vision and the importance of AI for the future of the business?,No clear communication: Leadership has not communicated about AI. The focus is on understanding AI's potential impact.,Acknowledgement without vision: Leadership acknowledges AI's potential but hasn't communicated a clear vision.,"Initial communication and initiatives: Leadership has communicated a vision for AI, and initial AI initiatives are underway.","Strong advocacy and understanding: Leadership strongly advocates for AI, and there's a company-wide understanding of its importance.",Cultivation of AI-driven culture: Leadership actively cultivates an AI-driven culture of innovation and continuous learning.,
5,Organization and Culture,AI Skilling,How readily available are the AI skilling and credentialing resources needed to execute on AI initiatives for the customer?,No formal program: No formal program for developing AI skills. The focus is on identifying needed skills.,Recognition and planning: The organization recognizes the need for AI skills development and is planning to make resources available.,Initial skilling programs: Initial AI skilling programs are being offered to employees.,"Comprehensive program: A comprehensive AI skills development program is in place, supporting a mature AI workforce.","Culture of continuous learning: There's a culture of continuous learning focused on AI, actively fostering and promoting AI expertise.",
6,Organization and Culture,Decision Agility,How agile are the company's decision-making processes to take advantage of fast-moving advances in AI?,No formal process: No formal process for evaluating and adopting new AI advancements. The focus is on understanding AI's potential.,Recognition and planning: The organization recognizes the need for agility and is planning to establish agile decision-making processes.,"Initial agile processes: Initial agile decision-making processes are in place, with proof-of-concept projects.","Well-established agility: Agile decision-making is well established, supporting quick adaptation to new AI advancements.","Leadership in AI adoption: The organization is a leader in adopting cutting-edge AI advancements, with agile decision-making as a core strength.",
7,Organization and Culture,AI Expertise,What is the level of expertise available to contribute to AI projects?,No dedicated team: No dedicated AI team or expertise. The focus is on identifying needed skillsets.,Recognition and planning: The organization recognizes the need for AI expertise and is planning to make experts available.,"Initial access to expertise: Initial access to AI expertise has been established, with experts contributing to projects.",Well-established AI team: A well-established AI team with diverse expertise supports a mature AI development pipeline.,"Deep pool of expertise: The organization has a deep pool of AI expertise, attracting top talent, with a dedicated Ai officer on staff. ",
8,Organization and Culture,Security Culture,"How deeply has a security-first culture been instilled into all aspects of the organization (operations, employee training, product development, and leadership commitment)?","Low security awareness: Security awareness is generally low, and security is not a primary focus.",Recognition and basic policies: The organization recognizes the need for a security-first culture but lacks a concrete plan. Basic policies might exist.,"Established training programs: Security awareness training programs are established, with partial integration into operations and development.","Strong security culture: Security is a core value integrated into daily operations, training, and development. Leadership demonstrates commitment.","Ingrained security culture: Security is ingrained in all aspects of the organization, with consistent security consciousness and unwavering leadership commitment.",
9,AI Strategy and Experience,Identifying AI Models for Use Cases,How readily can your organization identify the AI models best suited for the respective AI use cases?,There's no formal process for selecting AI models. The focus is on understanding basic AI concepts and their potential applications for achieving business objectives.,"Potential AI use cases have been identified. The focus is on selecting the most appropriate model for each use case based on factors like data availability and characteristics, as well as desired model outcomes.","Pilot testing of chosen AI models is underway, or initial model deployment has begun.",Successful AI models are deployed and delivering value. There's a continuous process for evaluating and potentially upgrading models based on real-world data and user feedback.,A well-defined process for model selection and improvement is in place. The organization actively seeks opportunities to use cutting-edge AI models for continuous value creation.,
10,AI Strategy and Experience,Workflows for AI Development and Deployment,"At what level are there workflows in place to create a standard, repeatable process for the development and deployment of AI solutions?",No defined AI workflows exist.,The organization recognizes the need for standardized processes. A high-level development workflow for AI solutions is being defined.,Initial development and deployment processes are being implemented and tested through pilot projects.,A well-defined and standardized development process is in place and supporting the successful deployment of AI solutions across the organization.,"The development and deployment process is highly , efficient, and adaptable to evolving AI needs. The organization is actively seeking opportunities to use MLOps practices for continuous improvement.",
